127.0.0.1 - - [07/Dec/2021:08:47:16 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:32:55 +0800] "GET /Education/Practice1.init HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:32:56 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:33:04 +0800] "GET /Education/Practice1.init HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:33:48 +0800] "GET /education/Practice1.init HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:33:50 +0800] "GET /education/views/pjcommon/errorpage/exception.jsp HTTP/1.1" 200 3846
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:33:50 +0800] "GET /education/views/np/pc/style/np-systemerror.css HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:33:50 +0800] "GET /education/views/np/pc/style/np/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:33:50 +0800] "GET /education/views/np/pc/style/np/np.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:16 +0800] "GET /education/practice1.init HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:16 +0800] "GET /education/practice1/practice1a.render?__qi=6c352f3c-f265-46f3-baf4-792975086608 HTTP/1.1" 200 6618
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:17 +0800] "GET /education/views/np/pc/style/ifm-np.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:17 +0800] "GET /education/views/np/pc/style/jquery-ui/jquery-ui.diff.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:17 +0800] "GET /education/views/pjcommon/js/globalize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:17 +0800] "GET /education/views/pjcommon/js/jquery-1.11.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:17 +0800] "GET /education/views/np/pc/style/jquery-ui/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:17 +0800] "GET /education/views/np/pc/js/jquery-ui-extend.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:17 +0800] "GET /education/views/pjcommon/style/jquery-ui-1.11.2/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:17 +0800] "GET /education/views/programs/practice1/intarfrm-form-practice1a.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:17 +0800] "GET /education/views/pjcommon/js/intarfrm-skeleton.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:17 +0800] "GET /education/views/pjcommon/js/intarfrm-helper-16.0.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:17 +0800] "GET /education/views/np/common/js/np.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2021:09:34:23 +0800] "POST /education/pjcommon.resource?lang=ja-JP&id=ListNoRecordCode&id=CodeCloseBtn HTTP/1.1" 200 164
